,driver1,driver2
0,Sergio Pérez,Olivier Panis
1,Lance Stroll,Nick Heidfeld
2,Fernando Alonso,Jean-Éric Vergne
3,Kevin Magnussen,David Coulthard
4,Daniel Ricciardo,Pascal Wehrlein
5,Lando Norris,Daniil Kvyat
6,Charles Leclerc,Vitantonio Liuzzi
7,Alexander Albon,Vitantonio Liuzzi
8,Lando Norris,Sebastian Vettel
9,Lewis Hamilton,Michael Schumacher
10,Kevin Magnussen,Nick Heidfeld
11,Charles Leclerc,Pedro de la Rosa
12,Sergio Pérez,Kimi Räikkönen
13,Sergio Pérez,Narain Karthikeyan
14,Fernando Alonso,Nigel Mansell
15,Lance Stroll,Alexander Wurz
16,Lance Stroll,Rubens Barrichello
17,Fernando Alonso,Sébastien Bourdais
18,Sebastian Vettel,Jos Verstappen
19,Valtteri Bottas,Nico Rosberg
20,Kevin Magnussen,Alexander Wurz
21,Carlos Sainz,Felipe Massa
22,Charles Leclerc,Vitaly Petrov
23,Sebastian Vettel,Takuma Sato
24,Daniel Ricciardo,Christian Klien
25,Valtteri Bottas,Nyck de Vries
26,Pierre Gasly,Sergio Pérez
27,Carlos Sainz,Carlos Sainz
28,Daniel Ricciardo,Daniel Ricciardo
29,Esteban Ocon,George Russell
30,Max Verstappen,Adrian Sutil
31,Lewis Hamilton,Timo Glock
32,Daniel Ricciardo,Damon Hill
33,Kevin Magnussen,Karun Chandhok
34,Max Verstappen,Nico Hülkenberg
35,Lewis Hamilton,Nyck de Vries
36,Sebastian Vettel,Bruno Senna
37,Fernando Alonso,Mick Schumacher
38,Fernando Alonso,Lewis Hamilton
39,George Russell,George Russell
40,Max Verstappen,Jenson Button
41,Lance Stroll,Pedro de la Rosa
42,Max Verstappen,Jarno Trulli
43,Lewis Hamilton,Pascal Wehrlein
44,Alexander Albon,Valtteri Bottas
45,Fernando Alonso,Kevin Magnussen
46,Esteban Ocon,Narain Karthikeyan
47,Daniel Ricciardo,Jean Alesi
48,Sebastian Vettel,Sébastien Buemi
49,Fernando Alonso,Jos Verstappen
50,Fernando Alonso,Max Verstappen
51,Valtteri Bottas,Christian Klien
52,Lewis Hamilton,Jolyon Palmer
53,Daniel Ricciardo,Martin Brundle
54,Lando Norris,Lance Stroll
55,Max Verstappen,Paul di Resta
56,Nicholas Latifi,Jenson Button
57,Lance Stroll,Vitaly Petrov
58,Guanyu Zhou,Kimi Räikkönen
59,Max Verstappen,Vitantonio Liuzzi
60,Daniel Ricciardo,Jérôme d'Ambrosio
61,Valtteri Bottas,Damon Hill
62,Carlos Sainz,Nico Hülkenberg
63,Nicholas Latifi,Brendon Hartley
64,Kevin Magnussen,Vitaly Petrov
65,Lewis Hamilton,Christian Klien
66,Valtteri Bottas,Heikki Kovalainen
67,Alexander Albon,Jack Aitken
68,Esteban Ocon,Felipe Massa
69,Sebastian Vettel,Gerhard Berger
70,Max Verstappen,Jacques Villeneuve
71,Pierre Gasly,Charles Leclerc
72,Sergio Pérez,Adrian Sutil
73,Fernando Alonso,Bruno Senna
74,Daniel Ricciardo,Sébastien Bourdais
75,Lance Stroll,Nelson Piquet
76,Esteban Ocon,Carlos Sainz
77,Valtteri Bottas,Jean Alesi
78,Mick Schumacher,Pietro Fittipaldi
79,Esteban Ocon,Juan Pablo Montoya
80,Sebastian Vettel,Rubens Barrichello
81,Lewis Hamilton,Heikki Kovalainen
82,George Russell,Felipe Massa
83,Daniel Ricciardo,Romain Grosjean
84,Guanyu Zhou,Felipe Massa
85,Sergio Pérez,Jenson Button
86,Sergio Pérez,Kamui Kobayashi
87,Valtteri Bottas,Martin Brundle
88,Carlos Sainz,Vitantonio Liuzzi
89,Lando Norris,Marcus Ericsson
90,Nicholas Latifi,Nico Rosberg
91,Valtteri Bottas,Jérôme d'Ambrosio
92,Sergio Pérez,Brendon Hartley
93,Max Verstappen,Scott Speed
94,Carlos Sainz,Antonio Giovinazzi
95,Mick Schumacher,Anthony Davidson
96,Sergio Pérez,Michael Schumacher
97,Lewis Hamilton,Martin Brundle
98,Charles Leclerc,Heinz-Harald Frentzen
99,Sergio Pérez,Paul di Resta
100,Lewis Hamilton,Jérôme d'Ambrosio
101,Charles Leclerc,Daniel Ricciardo
102,Pierre Gasly,Narain Karthikeyan
103,Fernando Alonso,Gerhard Berger
104,Lewis Hamilton,Jan Magnussen
105,Valtteri Bottas,Ralf Schumacher
106,Daniel Ricciardo,Jos Verstappen
107,Daniel Ricciardo,Max Verstappen
108,Esteban Ocon,Nico Hülkenberg
109,Lewis Hamilton,Robert Kubica
110,Valtteri Bottas,Romain Grosjean
111,Fernando Alonso,Rubens Barrichello
112,Sergio Pérez,Jacques Villeneuve
113,Lance Stroll,Pascal Wehrlein
114,Lando Norris,David Coulthard
115,Max Verstappen,Sergey Sirotkin
116,Daniel Ricciardo,Yuki Tsunoda
117,Alexander Albon,Daniil Kvyat
118,Sergio Pérez,Timo Glock
119,Lando Norris,Nick Heidfeld
120,Alexander Albon,Sebastian Vettel
121,Lewis Hamilton,Ralf Schumacher
122,Esteban Ocon,Jarno Trulli
123,Charles Leclerc,Jean Alesi
124,Pierre Gasly,Nicholas Latifi
125,George Russell,Alexander Wurz
126,Lewis Hamilton,Romain Grosjean
127,Max Verstappen,Jack Aitken
128,Mick Schumacher,Nico Hülkenberg
129,Sebastian Vettel,Kamui Kobayashi
130,Esteban Ocon,Paul di Resta
131,George Russell,Jarno Trulli
132,Pierre Gasly,Carlos Sainz
133,Valtteri Bottas,Kevin Magnussen
134,Charles Leclerc,Jean-Éric Vergne
135,Lando Norris,Rubens Barrichello
136,Lance Stroll,Christian Klien
137,Guanyu Zhou,Jenson Button
138,Alexander Albon,Jean-Éric Vergne
139,George Russell,Karun Chandhok
140,Pierre Gasly,Lando Norris
141,Sebastian Vettel,Brendon Hartley
142,Esteban Ocon,Vitantonio Liuzzi
143,Kevin Magnussen,Heinz-Harald Frentzen
144,Mick Schumacher,Jarno Trulli
145,Sebastian Vettel,Michael Schumacher
146,Daniel Ricciardo,Sébastien Buemi
